from,to,weight,relation
klheu,jalun,2,99
klheu,thschm,2,99
klheu,stbum,99,1
klheu,flmbh,99,1
klheu,story,99,1
klheu,balin,99,3
klheu,lalin,99,3
klheu,duelt,99,3
klheu,cilli,99,3
klheu,vimbh,99,2
klheu,neise,99,1
klheu,mtome,99,2
klheu,prben,99,1
klheu,dielt,99,3
klheu,joben,99,3
jalun,stbum,99,1
jalun,flmbh,99,1
jalun,story,99,1
jalun,balin,99,3
jalun,lalin,99,3
jalun,duelt,99,3
jalun,cilli,99,3
jalun,prben,99,1
jalun,dielt,99,3
jalun,joben,99,3
thschm,jalun,2,99
thschm,stbum,99,1
thschm,flmbh,99,1
thschm,story,99,1
thschm,balin,99,3
thschm,lalin,99,3
thschm,duelt,99,3
thschm,cilli,99,3
thschm,prben,99,1
thschm,dielt,99,3
thschm,joben,99,3
thschm,vimbh,99,2
thschm,mtome,99,2
babie,liava,99,3
babie,elive,99,1
babie,hahow,99,1
babie,sky,99,1
babie,diehn,99,3
babie,vox,99,1
babie,wiiso,99,3
babie,eicks,99,3
babie,alsch,99,3
babie,alnen,99,3
babie,biwdr,99,3
babie,wdr,99,1
oesar,babie,2,99
oesar,liava,99,3
oesar,wdr,99,1
oesar,elive,99,1
oesar,lence,99,2
oesar,poehn,99,3
oesar,rtl,99,1
oesar,dihow,99,3
liava,wdr,99,1
liava,elive,99,1
balin,stbum,99,1
balin,flmbh,99,1
balin,story,99,1
balin,prben,99,1
duelt,prben,99,1
cilli,prben,99,1
dielt,prben,99,1
lalin,prben,99,1
joben,prben,99,1
hahow,sky,99,1
diehn,vox,99,1
hahow,satei,99,1
dihow,daers,99,1
biwdr,wdr,99,1
wiiso,zdf,99,1
alnen,prben,99,1
poehn,rtl,99,1
lence,rtl,99,1
rezo,hobby,99,3
rezo,jubam,3,99
hobby,spstu,99,1
hobby,youmc,99,1
rezo,spstu,99,1
rezo,youmc,99,1
jubam,spstu,99,1
jubam,youmc,99,1
rezo,zeonl,99,2
rezo,prben,99,1
rezo,bggng,99,1
prben,bggng,99,1
rezo,neale,99,1
rezo,zapp,99,1
rezo,ndr,99,1
ndr,zapp,99,1
rezo,zdf,99,1
rezo,precht,99,1
zdf,precht,99,1
rezo,alges,99,1
alges,zeonl,99,1
rezo,satfr,99,1
jubam,hobby,99,3
jubam,prben,99,1
jubam,bggng,99,1
jubam,modan,99,1
modan,prben,99,1
jubam,evere,99,1
jubam,sonic,99,1
jubam,thevk,99,1
jubam,satei,99,1
thevk,satei,99,1
jubam,aini,99,1
jasam,jauar,99,3
arlee,jauar,99,3
jasam,arlee,3,99
jasam,aini,99,1
jubam,jasam,2,99
saruec,zever,99,3
saruec,wozei,99,3
saruec,zeonl,99,2
ansen,zever,99,3
ansen,zeonl,99,2
ansen,wozei,99,2
ansen,zewis,99,3
pakra,molus,99,3
lawoh,molus,99,3
scusue,lawoh,99,3
scusue,pakra,99,3
pakra,lawoh,3,99
stbum,vivie,99,1
stbum,inani,99,1
lawoh,zdf,99,1
pakra,zdf,99,1
lawoh,funk,99,1
pakra,funk,99,1
wecri,inani,99,3
wecri,vivie,99,3
wecri,stbum,99,1
molus,zdf,99,1
molus,funk,99,1
felob,gehac,99,3
felob,thsch,3,99
felob,lalin,99,1
felob,kocon,99,1
felob,cocha,99,1
felob,neyot,99,2
felob,nuhab,99,1
felob,dinuh,1,99
felob,saver,99,2
felob,ulver,99,2
felob,klheu,1,99
felob,apinf,99,1
felob,dedre,99,1
felob,homat,99,1
felob,chuka,99,1
dinuh,nuhab,99,3
nuhab,daers,99,1
thsch,gehac,99,3
thsch,luwoc,99,1
thsch,lumoc,1,99
thsch,lalin,99,1
thsch,zdneo,99,2
thsch,stsch,99,3
thsch,stern,99,2
thsch,runac,99,2
thsch,elfre,99,2
thsch,wuerl,99,2
thsch,podkin,99,1
thsch,paroj,1,99
thsch,dedre,99,1
dedre,funk,99,1
thsch,nuacfu,99,1
thsch,kiuco,99,1
thsch,homat,99,1
thsch,apinf,99,1
thsch,klheu,1,99
klheu,lalin,99,3
lalin,prben,99,1
lalin,paroj,99,1
paroj,podkin,99,3
paroj,klheu,1,99
stsch,zdneo,99,1
gehac,spoti,99,1
rtlii,cocha,99,1
lusch,didoo,99,3
lusch,sasaf,3,99
lusch,lucon,99,3
lusch,stsie,99,1
lusch,tvtot,99,1
lusch,straa,1,99
sasaf,didoo,99,3
sasaf,rhgel,99,1
stsie,prsat,99,1
bicla,dacla,99,3
bicla,jucla,3,99
bicla,tvtot,99,1
bicla,klggr,99,1
bicla,wewds,99,1
bicla,daqui,99,1
bicla,straa,1,99
bicla,wamus,99,1
bicla,chotp,99,1
bicla,tocoo,99,1
bicla,timan,99,1
bicla,jopil,1,99
bicla,kapfl,1,99
jucla,daqui,99,1
jucla,dacla,99,3
jucla,timan,99,1
jucla,jopil,1,99
jopil,daqui,99,3
daqui,daers,99,1
klggr,kapfl,99,3
klggr,daers,99,1
wewds,kapfl,99,3
wewds,daers,99,1
zeverma,saruec,99,3
zeverma,ansen,99,3
ditag,ansen,99,2
stzei,ansen,99,2
sctag,ansen,99,2
bild,saruec,99,2
unpfa,saruec,99,3
johab,saruec,2,99
johab,unpfa,99,3
skin,pakra,99,1
mezib,pakra,99,1
rafri,pakra,99,1
wwwoh,pakra,99,1
brnex,pakra,99,1
1live,pakra,99,1
skin,lawoh,99,1
mezib,lawoh,99,1
rafri,lawoh,99,1
wwwoh,lawoh,99,1
brnex,lawoh,99,1
1live,lawoh,99,1
zedoc,ansen,99,3