from,to,weight,relationship
klheu,jalun,4,3
klheu,thschm,4,3
klheu,stbum,,1
klheu,flmbh,,1
klheu,story,,1
klheu,balin,,6
klheu,lalin,,6
klheu,duelt,,6
klheu,cilli,,6
klheu,vimbh,,6
klheu,neise,,6
klheu,mtome,,6
klheu,prben,,1
klheu,dielt,,6
klheu,joben,,6
jalun,thschm,4,3
jalun,klheu,4,3
jalun,stbum,,1
jalun,flmbh,,1
jalun,story,,1
jalun,balin,,6
jalun,lalin,,6
jalun,duelt,,6
jalun,cilli,,6
jalun,prben,,1
jalun,dielt,,6
jalun,joben,,6
thschm,klheu,4,3
thschm,jalun,4,3
thschm,stbum,,1
thschm,flmbh,,1
thschm,story,,1
thschm,balin,,6
thschm,lalin,,6
thschm,duelt,,6
thschm,cilli,,6
thschm,prben,,1
thschm,dielt,,6
thschm,joben,,6
thschm,vimbh,,1
thschm,mtome,,1
babie,oesar,3,3
babie,liava,,6
babie,weunk,,1
babie,elive,,1
babie,hahow,,6
babie,sky,,1
babie,diehn,,6
babie,vox,,1
babie,wiiso,,6
babie,eicks,,6
babie,alsch,,6
babie,alnen,,6
babie,biwdr,,6
babie,wdr,,1
oesar,babie,,4
oesar,liava,,6
oesar,weunk,,1
oesar,elive,,1
oesar,lence,,6
oesar,podcast null acht,,6
oesar,rtl,,1
oesar,dihow,,6
liava,weunk,,5
liava,elive,,5
balin,stbum,,5
balin,flmbh,,5
balin,story,,5
balin,prben,,5
rezo,hobby,,6
rezo,jubam,,3
hobby,spstu,,5
hobby,youmc,,5
rezo,spstu,,1
rezo,youmc,,1
jubam,spstu,,1
jubam,youmc,,1
rezo,zeonl,,1
rezo,resto,,
zeonl,resto,,5
rezo,prben,,1
rezo,bggng,,
prben,bggng,,5
rezo,jaboe,,4
rezo,neomr,,
jaboe,neomr,,
rezo,zapp,,
rezo,ndr,,
ndr,zapp,,5
rezo,zdf,,
rezo,rdpre,,4
zdf,rdpre,,
rezo,precht,,
rdpre,precht,,
zdf,precht,,5
rezo,chame,,4
rezo,joweg,,4
rezo,alges,,
chame,zeonl,,
joweg,zeonl,,
chame,alges,,
joweg,alges,,
chame,joweg,,3
alges,zeonl,,5
rezo,satfr,,1
jubam,hobby,,6
jubam,prben,,1
jubam,bggng,,
jubam,modan,,
modan,prben,,5
jubam,evere,,
jubam,sonic,,
jubam,thevk,,
jubam,satei,,1
thevk,satei,,5
jubam,aini,,
jasam,jauar,,6
arlee,jauar,,6
jasam,arlee,,3
jasam,aini,,
jubam,jasam,,4
saruec,zever,,6
saruec,wozei,,6
saruec,zeonl,,1
ansen,zever,,6
ansen,zeonl,,1
ansen,wozei,,6
ansen,zewis,,6
pakra,molus,,6
lawoh,molus,,6
pakra,lawoh,,3
stbum,vivie,,1
stbum,inani,,1
lawoh,zdf,,1
pakra,zdf,,1
lawoh,funk,,1
pakra,funk,,1
wecri,inani,,6
wecri,vivie,,6
wecri,stbum,,5
molus,zdf,,5
molus,funk,,5